K SETS ,id,Building Name,Year,Days in the Month,Energy Signature,Temperature C
1,1,Anderson ,01/01/2020,31,224.13,6
1,1,Anderson ,01/02/2020,28,250.96,3.2
1,1,Anderson ,01/03/2020,31,226.90,5.3
1,1,Anderson ,01/04/2020,30,140.33,10.4
1,1,Anderson ,01/05/2020,31,62.68,14.9
1,1,Anderson ,01/06/2020,30,13.64,18
1,1,Anderson ,01/07/2020,31,12.41,21.1
1,1,Anderson ,01/08/2020,31,11.62,17.7
1,1,Anderson ,01/09/2020,30,30.10,14.4
1,1,Anderson ,01/10/2020,31,128.88,10.7
1,1,Anderson ,01/11/2020,30,171.80,8.4
1,1,Anderson ,01/12/2020,31,169.67,7.7
1,1,Anderson ,01/01/2021,31,201.72,6
1,1,Anderson ,01/02/2021,28,225.87,3.2
1,1,Anderson ,01/03/2021,31,204.21,5.3
1,1,Anderson ,01/04/2021,30,126.30,10.4
1,1,Anderson ,01/05/2021,31,56.41,14.9
1,1,Anderson ,01/06/2021,30,12.28,18
1,1,Anderson ,01/07/2021,31,11.17,21.1
1,1,Anderson ,01/08/2021,31,10.46,17.7
1,1,Anderson ,01/09/2021,30,27.09,14.4
1,1,Anderson ,01/10/2021,31,115.99,10.7
1,1,Anderson ,01/11/2021,30,154.62,8.4
1,1,Anderson ,01/12/2021,31,152.70,7.7
1,1,Anderson ,01/01/2022,31,179.31,6
1,1,Anderson ,01/02/2022,28,200.77,3.2
1,1,Anderson ,01/03/2022,31,181.52,5.3
1,1,Anderson ,01/04/2022,30,112.26,10.4
1,1,Anderson ,01/05/2022,31,50.14,14.9
1,1,Anderson ,01/06/2022,30,10.91,18
1,1,Anderson ,01/07/2022,31,9.93,21.1
1,1,Anderson ,01/08/2022,31,9.30,17.7
1,1,Anderson ,01/09/2022,30,24.08,14.4
1,1,Anderson ,01/10/2022,31,103.10,10.7
1,1,Anderson ,01/11/2022,30,137.44,8.4
1,1,Anderson ,01/12/2022,31,135.73,7.7
2,2,Richard Alley,01/01/2020,31,52.21,6
2,2,Richard Alley,01/02/2020,28,54.60,3.2
2,2,Richard Alley,01/03/2020,31,50.17,5.3
2,2,Richard Alley,01/04/2020,30,31.77,10.4
2,2,Richard Alley,01/05/2020,31,11.53,14.9
2,2,Richard Alley,01/06/2020,30,5.00,18
2,2,Richard Alley,01/07/2020,31,0.27,21.1
2,2,Richard Alley,01/08/2020,31,2.29,17.7
2,2,Richard Alley,01/09/2020,30,10.27,14.4
2,2,Richard Alley,01/10/2020,31,30.00,10.7
2,2,Richard Alley,01/11/2020,30,36.79,8.4
2,2,Richard Alley,01/12/2020,31,38.96,7.7
2,2,Richard Alley,01/01/2021,31,46.99,6
2,2,Richard Alley,01/02/2021,28,49.14,3.2
2,2,Richard Alley,01/03/2021,31,45.15,5.3
